target,message,length,sentence,words,words_cleaned,stemmed_words,lemmatized_words
ham,i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today ,24,['i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today'],"[['i', 'm', 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'don', 't', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', 'i', 've', 'cried', 'enough', 'today']]","['i', 'm', 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'don', 't', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', 'i', 've', 'cried', 'enough', 'today']","['i', 'm', 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'don', 't', 'want', 'to', 'talk', 'about', 'thi', 'stuff', 'anymor', 'tonight', 'k', 'i', 've', 'cri', 'enough', 'today']","['i', 'm', 'gon', 'na', 'be', 'home', 'soon', 'and', 'i', 'don', 't', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', 'i', 've', 'cried', 'enough', 'today']"
spam,six chances to win cash from 100 to 20 000 pounds txt csh11 and send to 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info,27,['six chances to win cash from 100 to 20 000 pounds txt csh11 and send to 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info'],"[['six', 'chances', 'to', 'win', 'cash', 'from', '100', 'to', '20', '000', 'pounds', 'txt', 'csh11', 'and', 'send', 'to', '87575', 'cost', '150p', 'day', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']]","['six', 'chances', 'to', 'win', 'cash', 'from', '100', 'to', '20', '000', 'pounds', 'txt', 'csh11', 'and', 'send', 'to', '87575', 'cost', '150p', 'day', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']","['six', 'chanc', 'to', 'win', 'cash', 'from', '100', 'to', '20', '000', 'pound', 'txt', 'csh11', 'and', 'send', 'to', '87575', 'cost', '150p', 'day', '6day', '16', 'tsandc', 'appli', 'repli', 'hl', '4', 'info']","['six', 'chance', 'to', 'win', 'cash', 'from', '100', 'to', '20', '000', 'pound', 'txt', 'csh11', 'and', 'send', 'to', '87575', 'cost', '150p', 'day', '6days', '16', 'tsandcs', 'apply', 'reply', 'hl', '4', 'info']"
spam,urgent you have won a 1 week free membership in our 100 000 prize jackpot txt the word claim to no 81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18,29,['urgent you have won a 1 week free membership in our 100 000 prize jackpot txt the word claim to no 81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18'],"[['urgent', 'you', 'have', 'won', 'a', '1', 'week', 'free', 'membership', 'in', 'our', '100', '000', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', '81010', 't', 'c', 'www', 'dbuk', 'net', 'lccltd', 'pobox', '4403ldnw1a7rw18']]","['urgent', 'you', 'have', 'won', 'a', '1', 'week', 'free', 'membership', 'in', 'our', '100', '000', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', '81010', 't', 'c', 'www', 'dbuk', 'net', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', 'you', 'have', 'won', 'a', '1', 'week', 'free', 'membership', 'in', 'our', '100', '000', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', '81010', 't', 'c', 'www', 'dbuk', 'net', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', 'you', 'have', 'won', 'a', '1', 'week', 'free', 'membership', 'in', 'our', '100', '000', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', '81010', 't', 'c', 'www', 'dbuk', 'net', 'lccltd', 'pobox', '4403ldnw1a7rw18']"
ham,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times ,38,['i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times'],"[['i', 've', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']]","['i', 've', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']","['i', 've', 'been', 'search', 'for', 'the', 'right', 'word', 'to', 'thank', 'you', 'for', 'thi', 'breather', 'i', 'promis', 'i', 'wont', 'take', 'your', 'help', 'for', 'grant', 'and', 'will', 'fulfil', 'my', 'promis', 'you', 'have', 'been', 'wonder', 'and', 'a', 'bless', 'at', 'all', 'time']","['i', 've', 'been', 'searching', 'for', 'the', 'right', 'word', 'to', 'thank', 'you', 'for', 'this', 'breather', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'time']"
ham,i have a date on sunday with will ,8,['i have a date on sunday with will'],"[['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']]","['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']","['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']","['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']"
spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl,22,['xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl'],"[['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'http', 'wap', 'xxxmobilemovieclub', 'com', 'n', 'qjkgighjjgcbl']]","['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'http', 'wap', 'xxxmobilemovieclub', 'com', 'n', 'qjkgighjjgcbl']","['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'messag', 'or', 'click', 'here', 'http', 'wap', 'xxxmobilemovieclub', 'com', 'n', 'qjkgighjjgcbl']","['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here', 'http', 'wap', 'xxxmobilemovieclub', 'com', 'n', 'qjkgighjjgcbl']"
ham,oh k i m watching here ,6,['oh k i m watching here'],"[['oh', 'k', 'i', 'm', 'watching', 'here']]","['oh', 'k', 'i', 'm', 'watching', 'here']","['oh', 'k', 'i', 'm', 'watch', 'here']","['oh', 'k', 'i', 'm', 'watching', 'here']"
ham,eh u remember how 2 spell his name yes i did he v naughty make until i v wet ,19,['eh u remember how 2 spell his name yes i did he v naughty make until i v wet'],"[['eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']]","['eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']","['eh', 'u', 'rememb', 'how', '2', 'spell', 'hi', 'name', 'ye', 'i', 'did', 'he', 'v', 'naughti', 'make', 'until', 'i', 'v', 'wet']","['eh', 'u', 'remember', 'how', '2', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']"
ham,fine if that s the way u feel that s the way its gota b,14,['fine if that s the way u feel that s the way its gota b'],"[['fine', 'if', 'that', 's', 'the', 'way', 'u', 'feel', 'that', 's', 'the', 'way', 'its', 'gota', 'b']]","['fine', 'if', 'that', 's', 'the', 'way', 'u', 'feel', 'that', 's', 'the', 'way', 'its', 'gota', 'b']","['fine', 'if', 'that', 's', 'the', 'way', 'u', 'feel', 'that', 's', 'the', 'way', 'it', 'gota', 'b']","['fine', 'if', 'that', 's', 'the', 'way', 'u', 'feel', 'that', 's', 'the', 'way', 'it', 'gota', 'b']"
spam,england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt 1 20 poboxox36504w45wq 16 ,27,['england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt 1 20 poboxox36504w45wq 16'],"[['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goals', 'team', 'news', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'try', 'wales', 'scotland', '4txt', '1', '20', 'poboxox36504w45wq', '16']]","['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goals', 'team', 'news', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'try', 'wales', 'scotland', '4txt', '1', '20', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goal', 'team', 'news', 'txt', 'ur', 'nation', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'tri', 'wale', 'scotland', '4txt', '1', '20', 'poboxox36504w45wq', '16']","['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goal', 'team', 'news', 'txt', 'ur', 'national', 'team', 'to', '87077', 'eg', 'england', 'to', '87077', 'try', 'wale', 'scotland', '4txt', '1', '20', 'poboxox36504w45wq', '16']"
ham,is that seriously how you spell his name ,8,['is that seriously how you spell his name'],"[['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']]","['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']","['is', 'that', 'serious', 'how', 'you', 'spell', 'hi', 'name']","['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']"
ham,i m going to try for 2 months ha ha only joking,11,['i m going to try for 2 months ha ha only joking'],"[['i', 'm', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']]","['i', 'm', 'going', 'to', 'try', 'for', '2', 'months', 'ha', 'ha', 'only', 'joking']","['i', 'm', 'go', 'to', 'tri', 'for', '2', 'month', 'ha', 'ha', 'onli', 'joke']","['i', 'm', 'going', 'to', 'try', 'for', '2', 'month', 'ha', 'ha', 'only', 'joking']"
ham,so pay first lar then when is da stock comin ,10,['so pay first lar then when is da stock comin'],"[['so', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']]","['so', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']","['so', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']","['so', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']"
ham,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already ,20,['aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already'],"[['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']]","['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']","['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']","['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']"
ham,ffffffffff alright no way i can meet up with you sooner ,11,['ffffffffff alright no way i can meet up with you sooner'],"[['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']]","['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']","['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']"
ham,just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,29,['just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol'],"[['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'i', 'm', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'i', 'm', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']]","['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'i', 'm', 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', 'i', 'm', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']","['just', 'forc', 'myself', 'to', 'eat', 'a', 'slice', 'i', 'm', 'realli', 'not', 'hungri', 'tho', 'thi', 'suck', 'mark', 'is', 'get', 'worri', 'he', 'know', 'i', 'm', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']","['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', 'i', 'm', 'really', 'not', 'hungry', 'tho', 'this', 'suck', 'mark', 'is', 'getting', 'worried', 'he', 'know', 'i', 'm', 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']"
ham,lol your always so convincing ,5,['lol your always so convincing'],"[['lol', 'your', 'always', 'so', 'convincing']]","['lol', 'your', 'always', 'so', 'convincing']","['lol', 'your', 'alway', 'so', 'convinc']","['lol', 'your', 'always', 'so', 'convincing']"
ham,did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love ,29,['did you catch the bus are you frying an egg did you make a tea are you eating your mom s left over dinner do you feel my love'],"[['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'mom', 's', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']]","['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'mom', 's', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']","['did', 'you', 'catch', 'the', 'bu', 'are', 'you', 'fri', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eat', 'your', 'mom', 's', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']","['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', 'mom', 's', 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']"
ham,i m back amp we re packing the car now i ll let you know if there s room,18,['i m back amp we re packing the car now i ll let you know if there s room'],"[['i', 'm', 'back', 'amp', 'we', 're', 'packing', 'the', 'car', 'now', 'i', 'll', 'let', 'you', 'know', 'if', 'there', 's', 'room']]","['i', 'm', 'back', 'amp', 'we', 're', 'packing', 'the', 'car', 'now', 'i', 'll', 'let', 'you', 'know', 'if', 'there', 's', 'room']","['i', 'm', 'back', 'amp', 'we', 're', 'pack', 'the', 'car', 'now', 'i', 'll', 'let', 'you', 'know', 'if', 'there', 's', 'room']","['i', 'm', 'back', 'amp', 'we', 're', 'packing', 'the', 'car', 'now', 'i', 'll', 'let', 'you', 'know', 'if', 'there', 's', 'room']"
ham,ahhh work i vaguely remember that what does it feel like lol,11,['ahhh work i vaguely remember that what does it feel like lol'],"[['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']]","['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']","['ahhh', 'work', 'i', 'vagu', 'rememb', 'that', 'what', 'doe', 'it', 'feel', 'like', 'lol']","['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'doe', 'it', 'feel', 'like', 'lol']"
ham,wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us,28,['wait that s still not all that clear were you not sure about me being sarcastic or that that s why x doesn t want to live with us'],"[['wait', 'that', 's', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'that', 's', 'why', 'x', 'doesn', 't', 'want', 'to', 'live', 'with', 'us']]","['wait', 'that', 's', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'that', 's', 'why', 'x', 'doesn', 't', 'want', 'to', 'live', 'with', 'us']","['wait', 'that', 's', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'be', 'sarcast', 'or', 'that', 'that', 's', 'whi', 'x', 'doesn', 't', 'want', 'to', 'live', 'with', 'us']","['wait', 'that', 's', 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', 'that', 's', 'why', 'x', 'doesn', 't', 'want', 'to', 'live', 'with', 'u']"
